miasto;template_id;nazwa;status;max_delta_pln;cena_local_pln;cena_prod_pln;cena_dev_pln;szczegoly
Warszawa;540;Praga i Skalne Miasto;price_diff;75;1265;1265;1325;max Δ 75 zł
Warszawa;543;Praga i Skalne Miasto;price_diff;85;1540;1540;1605;max Δ 85 zł
Warszawa;544;Wiedeń (4 dni, 2 noclegi);price_diff;45;1810;1810;1835;max Δ 45 zł
Warszawa;545;Wiedeń, Bratysława, Budapeszt;price_diff;60;2425;2425;2455;max Δ 60 zł
Warszawa;548;Wilno, Kowno, Troki;price_diff;35;1250;1250;1265;max Δ 35 zł
Warszawa;549;Wilno, Kowno, Troki;price_diff;45;1665;1665;1685;max Δ 45 zł
Warszawa;551;Włochy klasyczne - Wenecja, Florencja, Rzym, Piza (7 dni, 5 noclegów);price_diff;80;3500;3500;3545;max Δ 80 zł
Warszawa;552;Włochy klasyczne - Wenecja, Florencja, Rzym, Piza (7 dni, 6 noclegów);price_diff;85;3800;3800;3840;max Δ 85 zł
Warszawa;553;Rzym, Neapol, Pompeje;price_diff;70;2930;2930;2965;max Δ 70 zł
Warszawa;554;Włochy - Toskania i Wenecja;price_diff;75;3080;3080;3120;max Δ 75 zł
Warszawa;555;Włochy - Toskania;price_diff;60;2835;2835;2865;max Δ 60 zł
Warszawa;556;Włochy klasyczne - Wenecja,  Rzym, Florencja;price_diff;70;3420;3420;3455;max Δ 70 zł
Warszawa;559;Słowenia;price_diff;70;3145;3145;3180;max Δ 70 zł
Warszawa;560;Słowenia, Wenecja;price_diff;70;3160;3160;3195;max Δ 70 zł
Warszawa;561;Ryga, Tallin, Sztokholm;price_diff;60;2360;2360;2390;max Δ 60 zł
Warszawa;562;Płock;price_diff;20;200;200;210;max Δ 20 zł
Warszawa;563;Łódź i Suntago (dzieci do 16 lat);ok;;770;770;770;
Warszawa;564;Łódź i Suntago (młodzież powyżej 16 lat);ok;;790;790;790;
Warszawa;566;Łódź - Orientarium i EC1;ok;;295;295;295;
Warszawa;567;Kotlina Kłodzka, Praga, Skalne Miasto;ok;;1260;1260;1260;
Warszawa;569;Energylandia i Oświęcim (Muzeum Auschwitz-Birkenau) (dla grup ze szkół podstawowych);ok;;840;840;840;
Warszawa;570;Energylandia i Oświęcim (Muzeum Auschwitz-Birkenau) (dla grup ze szkół średnich);ok;;875;875;875;
Warszawa;571;Agroturystyka w Dolinie Liwca wersja świąteczna z malowaniem bombek choinkowych;ok;;275;275;275;
Warszawa;577;Malbork - Muzeum Zamkowe w Malborku;price_diff;120;300;300;365;max Δ 120 zł
Warszawa;586;Wrocław, Książ, Świdnica;ok;;1215;1215;1215;
Warszawa;588;Kraków, Tatry, Wieliczka (dla grup ze szkoły podstawowej);ok;;980;980;980;
Warszawa;589;KrakĂłw, Tatry, Wieliczka (dla grup ze szkĂłĹ‚ Ĺ›rednich);fetch_error;;;1035;1035;local: Nie znaleziono wierszy cennika (people_price w sekcji Cennik).
Warszawa;590;Gdańsk, Gdynia;price_diff;35;885;885;905;max Δ 35 zł
Warszawa;591;Grecja - Saloniki, Meteory, Ateny, Mykeny, Delfy;price_diff;105;5230;5230;5285;max Δ 105 zł
Warszawa;595;Pomiechówek - Park Doliny Wkry;ok;;225;225;225;
Warszawa;600;Drezno i Szwajcaria Saksońska;price_diff;140;1145;1145;1215;max Δ 140 zł
Warszawa;606;Jura Krakowsko – Częstochowska dla aktywnych - zajęcia wspinaczkowe i rajd rowerowy;ok;;810;810;810;
Warszawa;607;Jura  Krakowsko - Częstochowska dla aktywnych;ok;;1300;1300;1300;
Warszawa;609;"Warszawa szlakiem bohaterów ""Kamieni na szaniec""";ok;;145;145;145;
Warszawa;610;Łódź i warsztaty filmowe;ok;;280;280;280;
Warszawa;611;Dania, Szwecja - Karlskrona, Malmo, Kopenhaga, Odense, Kronborg;price_diff;75;3710;3710;3745;max Δ 75 zł
Warszawa;613;Dania, Szwecja - Karlskrona, Malmo, Kopenhaga, Kronborg;price_diff;60;2945;2945;2975;max Δ 60 zł
Warszawa;616;Chorwacja - Zagrzeb, Trogir, Split, Dubrownik, Jeziora Plitwickie;price_diff;85;3990;3990;4030;max Δ 85 zł
Warszawa;617;Karlskrona;price_diff;35;1400;1400;1415;max Δ 35 zł
Warszawa;619;Hiszpania - Barcelona, Girona, Figueres;price_diff;45;1620;1620;1645;max Δ 45 zł
Warszawa;620;Londyn;price_diff;60;2475;2475;2505;max Δ 60 zł
Warszawa;621;Londyn;price_diff;45;1940;1940;1965;max Δ 45 zł
Warszawa;622;Paryż;price_diff;45;1775;1775;1800;max Δ 45 zł
Warszawa;623;Paryż, Eurodisneyland;price_diff;60;2250;2250;2280;max Δ 60 zł
Warszawa;624;Rzym;price_diff;50;2700;2700;2720;max Δ 50 zł
Warszawa;641;Kraków i Krakowski Kazimierz;ok;;205;205;205;
Warszawa;642;Kraków – Stare Miasto i Kazimierz;ok;;630;630;630;
Warszawa;643;Kraków – Stare Miasto, Komnaty Królewskie na Wawelu i Rynek Podziemny;ok;;695;695;695;
Warszawa;644;Kraków i Energylandia (dla szkół podstawowych);ok;;725;725;725;
Warszawa;645;KrakĂłw i Energylandia (dla szkĂłĹ‚ Ĺ›rednich);fetch_error;;;760;760;local: Nie znaleziono wierszy cennika (people_price w sekcji Cennik).
Warszawa;646;Kraków i Kopalnia Soli Bochnia;ok;;635;635;635;
Warszawa;647;Kraków i Kopalnia Soli Bochnia z noclegiem w podziemiach kopalni;ok;;655;655;655;
Warszawa;648;Kraków i Kopalnia Soli Wieliczka (dla szkół podstawowych);ok;;635;635;635;
Warszawa;649;Kraków i Kopalnia Soli Wieliczka (dla szkół średnich);ok;;695;695;695;
Warszawa;650;Kraków i Ojcowski Park Narodowy;ok;;645;645;645;
Warszawa;651;Kraków i Oświęcim (Muzeum Auschwitz-Birkenau);ok;;630;630;630;
Warszawa;652;Jura Krakowsko – Częstochowska i Kraków;ok;;1080;1080;1080;
Warszawa;653;Kraków;ok;;1085;1085;1085;
Warszawa;654;Kraków, Energylandia (dla grup ze szkół podstawowych);ok;;1145;1145;1145;
Warszawa;655;Kraków, Energylandia (dla grup ze szkół średnich);ok;;1180;1180;1180;
Warszawa;656;Kraków, Wieliczka (dla grup ze szkół podstawowych);ok;;1125;1125;1125;
Warszawa;657;Kraków, Wieliczka (dla grup ze szkół średnich);ok;;1180;1180;1180;
Warszawa;658;Gdańsk i Muzeum II Wojny Światowej;ok;;125;125;125;
Warszawa;659;Gdańsk i Westerplatte;fetch_error;;180;180;;dev: Nie znaleziono wierszy cennika (people_price w sekcji Cennik).
Warszawa;660;Gdańsk z Muzeum II Wojny Światowej i Europejskim Centrum Solidarności;ok;;670;670;670;
Warszawa;661;Gdańsk, Gdynia;ok;;760;760;760;
Warszawa;662;Trójmiasto - Gdańsk, Gdynia, Sopot;ok;;640;640;640;
Warszawa;663;Gdańsk, Gdynia;ok;;1190;1190;1190;
Warszawa;664;Trójmiasto - Gdańsk, Gdynia, Sopot;ok;;1040;1040;1040;
Warszawa;665;Trójmiasto - Gdańsk, Gdynia, Sopot i Muzeum II Wojny Światowej;ok;;1070;1070;1070;
Warszawa;666;Wrocław i Afrykarium;ok;;240;240;240;
Warszawa;667;Wrocław i Panorama Racławicka;ok;;200;200;200;
Warszawa;668;Wrocław;ok;;150;150;150;
Warszawa;674;Wrocław;ok;;715;715;715;
Warszawa;675;Łódź - Orientarium i EC1;ok;;280;280;280;
Warszawa;676;Łódź i Muzeum Fabryki;ok;;165;165;165;
Warszawa;677;Łódź i Orientarium;ok;;210;210;210;
Warszawa;678;Łódź i warsztaty filmowe;ok;;260;260;260;
Warszawa;679;Łódź;ok;;700;700;700;
Warszawa;680;Łódź i Mandoria;ok;;795;795;795;
Warszawa;681;Kraków;ok;;170;170;170;
Warszawa;682;Toruń i planetarium;ok;;175;175;175;
Warszawa;683;Toruń z warsztatami piernikowymi;ok;;200;200;200;
Warszawa;684;Toruń z warsztatami piernikowymi i planetarium;ok;;220;220;220;
Warszawa;685;Toruń;ok;;710;710;710;
Warszawa;686;Toruń, Bydgoszcz;ok;;705;705;705;
Warszawa;687;Łódź i warsztaty filmowe;ok;;775;775;775;
Warszawa;688;Łódź i warsztaty filmowe;ok;;765;765;765;
Warszawa;689;Grecja - Saloniki, Riwiera Olimpijska, Meteory, Delfy, Peloponez, Ateny;price_diff;75;3260;3260;3295;max Δ 75 zł
Warszawa;690;Ateny, Delfy, Peloponez;price_diff;50;2315;2315;2335;max Δ 50 zł
Warszawa;691;Wiedeń, Bratysława, Budapeszt (nocny powrót);price_diff;60;2140;2140;2170;max Δ 60 zł
Warszawa;692;Praga, Drezno;price_diff;60;1735;1735;1765;max Δ 60 zł
Warszawa;694;Włochy północne (Lombardia i Wenecja Euganejska) - Wenecja, Padwa, Werona, Jezioro Garda, Monte Baldo, Mediolan;price_diff;70;3090;3090;3125;max Δ 70 zł
Warszawa;696;Kielce i Chęciny;ok;;260;260;260;
Warszawa;697;Kraków, Wieliczka (dla grup ze szkół podstawowych);ok;;385;385;385;
Warszawa;700;Kraków, Wieliczka (dla grup ze szkół średnich);ok;;445;445;445;
Warszawa;706;Toruń z warsztatami piernikowymi i Młyn Wiedzy;ok;;320;320;320;
Warszawa;707;Toruń z warsztatami piernikowymi i Dom Mikołaja Kopernika;ok;;335;335;335;
Warszawa;708;Góry Świętokrzyskie i Kielce;ok;;235;235;235;
Warszawa;715;Sochaczew - Muzeum Kolei Wąskotorowych;ok;;195;195;195;
Warszawa;719;Kraków i rynek podziemny;ok;;395;395;395;
Warszawa;716;Kadzidło - Skansen Kultury Kurpiowskiej;ok;;175;175;175;
Warszawa;721;Kopalnia Soli Kłodawa i Zamek w Łęczycy;price_diff;15;305;305;315;max Δ 15 zł
Warszawa;722;Roztocze Lubelskie aktywnie z paintball i tyrolką;price_diff;35;740;740;760;max Δ 35 zł
Warszawa;723;Praga, Drezno (nocny powrót);price_diff;50;1410;1410;1435;max Δ 50 zł
Warszawa;726;Białystok i Biebrzański Park Narodowy;ok;;635;635;635;
Warszawa;727;Podlasie - Białystok i Białowieża;ok;;690;690;690;
Warszawa;728;Podlasie - Białystok, Supraśl, Bohoniki, Kruszyniany, Białowieża;ok;;1145;1145;1145;
Warszawa;729;Biebrzański Park Narodowy i spływ kajakowy Biebrzą;ok;;670;670;670;
